Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
MSI,126.09,-39.59,-7.57,7.43,17.95,112.57%,34.11%,Computers and Technology,22673360000.00,22.67,2.56,120.77,3/23/2020,187.49,133.37,4.22,32.75
CXO,41.64,-26.38,-2.12,3.05,13.47,-64.56%,72.62%,Oils-Energy,8428895000.00,8.43,0.8,33.13,3/18/2020,124.53,41.08,20.44,66.56
DTE,88.08,-23.59,-4.4,6.3,15.78,16.20%,2.99%,Utilities,18289512000.00,18.29,4.05,71.21,3/18/2020,135.67,99.43,19.15,35.08
IBM,105.14,-25.01,-0.71,12.81,8.82,-31.89%,-16.86%,Computers and Technology,98551104000.00,98.55,6.48,90.56,3/23/2020,158.75,112.93,13.87,33.77
SYK,144.67,-45.92,-8.38,8.26,19.73,77.61%,53.84%,Medical,62405116000.00,62.41,2.3,124.54,3/23/2020,226.3,162.96,13.91,36.07
MDT,84.11,-16.56,-2.71,5.55,16.59,15.72%,79.69%,Medical,120856168000.00,120.86,2.16,72.13,3/18/2020,122.15,92.05,14.24,31.14
MMM,133.14,-16.1,1.6,8.96,15.37,-18.29%,0.99%,Conglomerates,78500216000.00,78.50,5.88,114.04,3/23/2020,219.75,137.74,14.35,39.41
MPC,20.87,-26.55,-0.24,4.83,5.04,-52.96%,26.72%,Oils-Energy,15341286000.00,15.34,2.32,15.26,3/19/2020,69.65,24.33,26.88,70.04
PH,116.09,-68.68,-10.44,11.78,11.07,7.63%,8.36%,Industrial Products,16652532000.00,16.65,3.52,93,3/18/2020,215.94,130.35,19.89,46.24
PXD,67.77,-55.01,-4.54,8.19,8.12,-59.34%,84.06%,Oils-Energy,11624907000.00,11.62,1.1,48.62,3/18/2020,178.22,66.49,28.26,61.97
RL,65.69,-39.82,-4.91,8.25,8.64,-51.61%,-15.26%,Consumer Staples,4928178000.00,4.93,2.75,62.01,3/23/2020,133.63,71.26,5.60,50.84
SNA,104.26,-40.49,-5.68,12.27,9.21,-26.65%,13.80%,Consumer Discretionary,5951040000.00,5.95,4.32,90.72,3/23/2020,174,113.03,12.99,40.08
VLO,41,-25.25,1.37,5.46,8.64,-24.06%,-17.21%,Oils-Energy,18567526000.00,18.57,3.92,31,3/18/2020,101.99,47.19,24.39,59.80
DOW,27.04,-13.37,-3.34,2.55,0,0.00%,0.00%,Basic Materials,21715962000.00,21.72,2.8,21.95,3/16/2020,60.52,28.65,18.82,55.32
A,68.92,-8.15,-0.08,3.17,22.92,64.45%,-26.04%,Computers and Technology,22177206000.00,22.18,0.72,61.13,3/16/2020,90.64,72.67,11.30,23.96
AAL,10.69,-8.36,-4.7,4.91,2.49,-74.46%,7.31%,Transportation,5193659000.00,5.19,0.4,10.01,3/23/2020,35.24,12.25,6.36,69.67
AAP,89.17,-43.81,-1.2,8.2,11.77,-37.87%,-1.37%,Retail-Wholesale,6461290000.00,6.46,1,71.33,3/23/2020,182.56,96.5,20.01,51.16
AAPL,240.91,-32.45,-4.61,12.66,20.13,100.07%,42.33%,Computers and Technology,1112640768000.00,1112.64,3.08,170.27,6/3/2019,327.85,254.81,29.32,26.52
WM,88.43,-22.38,-2.51,4.43,21.35,67.86%,10.42%,Business Services,39311064000.00,39.31,2.18,85.34,3/25/2020,126.79,94.6,3.49,30.25
ABC,86.23,1.91,10.88,7.24,12.17,-23.28%,50.20%,Medical,18221354000.00,18.22,1.68,70.55,4/22/2019,97.5,88.1,18.18,11.56
ABMD,144.48,-5.78,-2.41,4.21,35.39,109.32%,318.99%,Medical,6541344000.00,6.54,0,119.01,3/23/2020,288.47,148.99,17.63,49.92
ABT,76.57,-0.46,5.82,3.24,24.49,67.36%,57.57%,Medical,139152496000.00,139.15,1.44,61.61,3/23/2020,92.45,79.34,19.54,17.18
ACN,154.68,-25.91,2.86,7.67,22.14,72.42%,35.58%,Business Services,103779808000.00,103.78,3.2,137.15,3/23/2020,216.39,169.82,11.33,28.52
ADBE,301.21,-43.91,-4.7,7.07,45.03,315.84%,169.38%,Computers and Technology,153328336000.00,153.33,0,255.13,3/18/2020,386.74,318.39,15.30,22.12
TXN,96.89,-17.25,-2.27,5.12,19.93,73.19%,10.26%,Computers and Technology,93332224000.00,93.33,3.6,93.09,3/16/2020,135.7,102.02,3.92,28.60
ADM,33.87,-3.78,1.17,3.25,11.02,-26.65%,-20.38%,Consumer Staples,19602578000.00,19.60,1.44,28.92,3/23/2020,47.2,35.83,14.61,28.24
ADS,31.04,-54.84,-7.47,16.33,2.1,-88.81%,5.25%,Business Services,1602682000.00,1.60,2.52,20.51,3/19/2020,182.95,34.3,33.92,83.03
ADSK,139.22,-51.66,-10.77,1.41,110.57,148.80%,30.34%,Computers and Technology,34267228000.00,34.27,0,125.38,3/18/2020,211.58,155.91,9.94,34.20
AEE,67.73,-11.27,0.19,3.35,23.33,72.91%,-2.36%,Utilities,17933076000.00,17.93,1.98,58.74,3/23/2020,87.65,78.17,13.27,22.73
ADI,84.09,-24.96,-10.27,4.84,18.8,39.55%,109.13%,Computers and Technology,33010924000.00,33.01,2.48,79.07,3/18/2020,127.3,90.97,5.97,33.94
AES,12.8,-3.93,-0.02,1.37,9.97,3.03%,-40.58%,Utilities,9030903000.00,9.03,0.57,8.11,3/18/2020,21.23,13.66,36.64,39.71
AFL,31.9,-10.95,-4.83,4.44,8.17,6.14%,-1.85%,Finance,24738778000.00,24.74,1.12,23.07,3/18/2020,57.18,36.26,27.68,44.21
AGN,174.9,-15.77,5.9,17.64,9.99,-39.92%,23.17%,Medical,58266260000.00,58.27,2.96,114.27,6/17/2019,202.21,176.31,34.67,13.51
AIG,21.61,-20.55,-4.11,4.6,5.59,-57.15%,-22.76%,Finance,21180484000.00,21.18,1.28,16.07,3/18/2020,58.66,25.71,25.64,63.16
AIV,32.32,-15.52,1.81,3.19,13.91,-7.08%,-7.12%,Finance,5234890000.00,5.23,1.64,24.53,3/24/2020,55.68,34.78,24.10,41.95
AIZ,102.12,-18.47,2.48,8.49,12.64,68.46%,-2.84%,Finance,6227080000.00,6.23,2.52,76.27,3/19/2020,142.61,107.33,25.31,28.39
AJG,77,-20.49,-0.21,3.66,22.74,71.06%,55.52%,Finance,15454867000.00,15.45,1.8,65.09,3/18/2020,109.46,83.22,15.47,29.65
AKAM,91.6,5.09,2.25,3.55,26.53,28.05%,47.34%,Computers and Technology,14810584000.00,14.81,0,72.22,4/2/2019,103.34,94.19,21.16,11.36
ALB,54.84,-27.01,-5.18,6.04,9.21,-4.05%,46.77%,Basic Materials,5993202000.00,5.99,1.54,48.89,3/23/2020,99.4,55.6,10.85,44.83
ALGN,157.2,-61.15,-26.48,4.96,36.27,220.41%,216.00%,Medical,13699082000.00,13.70,0,127.88,3/19/2020,334.64,179.92,18.65,53.02
ALK,26.35,-24.11,-3.49,6.43,4.41,-55.47%,63.58%,Transportation,3499333000.00,3.50,1.5,20.02,3/18/2020,72.22,28.33,24.02,63.51
ALL,86.4,-18.85,3.4,10.45,9.06,27.35%,26.78%,Finance,29070522000.00,29.07,2.16,64.13,3/18/2020,125.92,94.64,25.78,31.39
ALLE,84.59,-30.4,-4.86,4.89,19.43,50.26%,34.73%,Industrial Products,8550221000.00,8.55,1.28,77.37,3/23/2020,139.24,95.01,8.54,39.25
ALXN,89.93,-4.1,5.46,9.71,8.99,-50.85%,123.44%,Medical,19942360000.00,19.94,0,72.67,3/16/2020,141.86,87.26,19.19,36.61
AMAT,43.3,-14.82,-1.43,3.22,14.69,103.64%,61.02%,Computers and Technology,42076736000.00,42.08,0.84,36.64,3/18/2020,69.44,47.3,15.38,37.64
AMCR,7.86,-1.46,0.15,0.42,0,0.00%,117.76%,Industrial Products,13024861000.00,13.02,0.46,5.8,3/16/2020,11.77,8.28,26.21,33.22
AMD,43.66,-1.82,-0.97,0.48,99.71,1547.83%,22.25%,Computers and Technology,53250352000.00,53.25,0,26.03,5/23/2019,59.27,47.86,40.38,26.34
AME,69.81,-16.19,-1.19,4.19,17.59,34.57%,28.26%,Computers and Technology,16506263000.00,16.51,0.72,54.82,3/18/2020,102.31,73.72,21.47,31.77
AMGN,197.81,-1.92,4.67,14.83,14.06,24.08%,16.44%,Medical,119571568000.00,119.57,6.4,166.3,5/15/2019,244.99,208.48,15.93,19.26
AMP,94.31,-46.99,-9.29,16.25,6.72,-17.71%,5.70%,Finance,12601864000.00,12.60,3.88,80.01,3/18/2020,180.85,109.15,15.16,47.85
AMT,206.97,-19.83,7.71,4.23,29.56,129.04%,84.88%,Finance,96443872000.00,96.44,4.04,174.32,3/23/2020,258.62,230.58,15.78,19.97
AMZN,1907.7,23.95,21.86,23.01,85.35,409.53%,215.24%,Retail-Wholesale,970590080000.00,970.59,0,1626.03,3/16/2020,2185.95,1963.95,14.76,12.73
ANET,192.77,-0.35,4.44,8.74,23.54,210.42%,312.72%,Computers and Technology,15490819000.00,15.49,0,156.63,3/23/2020,331.27,205.73,18.75,41.81
ANSS,211.25,-30.94,-1.06,5.44,43.22,162.50%,61.95%,Computers and Technology,19972428000.00,19.97,0,174.25,6/3/2019,299.06,235.13,17.51,29.36
ANTM,214.3,-42.79,-2.07,19.42,11.87,47.51%,41.07%,Medical,57289000000.00,57.29,3.8,171.03,3/23/2020,312.48,230.58,20.19,31.42
AON,153.68,-54.32,-9.47,9.16,18.67,67.98%,-8.57%,Finance,38220292000.00,38.22,1.76,143.93,3/23/2020,238.19,171.03,6.34,35.48
AOS,35.61,-3.94,-1.28,2.23,17.31,16.37%,27.02%,Industrial Products,6124086000.00,6.12,0.96,33.81,3/23/2020,56.66,38.6,5.05,37.15
APA,4.02,-20.9,-1.87,0,0,-93.84%,-53.71%,Oils-Energy,1577181000.00,1.58,1,3.8,3/18/2020,38.12,4.11,5.47,89.45
APD,189.28,-30.33,-1.87,8.5,24.3,31.39%,-14.56%,Basic Materials,44049536000.00,44.05,4.64,167.43,3/16/2020,257.01,206.53,11.54,26.35
APH,69.52,-22.16,-5.4,3.74,20.28,22.41%,53.88%,Computers and Technology,21725602000.00,21.73,1,63.05,3/18/2020,110.24,75.83,9.31,36.94
APTV,45.92,-32.19,-4.81,4.8,10.4,-30.83%,-15.66%,Business Services,12566984000.00,12.57,0.88,29.22,3/18/2020,99.04,49.92,36.37,53.63
ARE,131.24,-20.64,-2.16,3.09,20.78,44.26%,110.67%,Finance,16817260000.00,16.82,4.12,109.22,3/23/2020,175.74,144.65,16.78,25.32
ATO,94.64,-8.61,4.34,4.46,23.05,79.21%,-41.27%,Utilities,12136523000.00,12.14,2.3,77.92,3/23/2020,121.08,102.82,17.67,21.84
ATVI,57.5,-0.63,4.63,2.07,28.25,159.51%,47.21%,Consumer Discretionary,45753264000.00,45.75,0.37,41.84,5/24/2019,64.53,58.47,27.23,10.89
AVB,138.02,-62.57,-2.76,5.64,16.28,-12.56%,37.96%,Finance,20711970000.00,20.71,6.36,118.17,3/23/2020,229.4,152.1,14.38,39.83
AVGO,223.63,-48.99,6.08,16.85,14.25,86.96%,429.33%,Computers and Technology,94790448000.00,94.79,13,155.67,3/18/2020,331.58,240.11,30.39,32.56
AVY,95.93,-18.56,-1.83,6.59,15.9,88.51%,11.69%,Industrial Products,8485363000.00,8.49,2.32,76.96,3/23/2020,141.09,104.77,19.77,32.01
UTX,91.37,-39.22,-4.82,8.26,11.92,-20.37%,18.35%,Conglomerates,81705344000.00,81.71,2.94,69.02,3/18/2020,158.44,98.49,24.46,42.33
AXP,77.84,-32.09,-12.33,8.19,11.02,7.56%,30.61%,Finance,69176392000.00,69.18,1.72,67,3/18/2020,138.13,90.27,13.93,43.65
AZO,776.86,-255.65,-67.57,65.27,13.39,20.56%,25.21%,Retail-Wholesale,19755784000.00,19.76,0,684.91,3/23/2020,1274.41,873.99,11.84,39.04
BA,130.7,-144.41,-28.03,5.2,29.28,-3.39%,-15.65%,Aerospace,83988488000.00,83.99,0,89,3/18/2020,398.66,152.28,31.91,67.22
BAC,19.77,-8.73,-1.33,2.93,7.52,35.05%,19.34%,Finance,185226896000.00,185.23,0.72,17.95,3/23/2020,35.72,22.04,9.21,44.65
BAX,78.66,-4.81,5.09,2.62,0,111.69%,-31.85%,Medical,41184768000.00,41.18,0.88,69.1,3/16/2020,95,82.19,12.15,17.20
BBY,53.9,-21.75,-6.66,6.13,9.75,47.74%,8.18%,Retail-Wholesale,14750289000.00,14.75,2.2,48.1,3/19/2020,91.99,59.75,10.76,41.41
BDX,225.4,-12.42,21.8,11.63,19.16,60.44%,104.71%,Medical,62307424000.00,62.31,3.16,197.75,3/23/2020,286.72,222.87,12.27,21.39
BEN,15.86,-5.9,-0.93,2.68,6.63,-67.74%,-32.00%,Finance,8293228000.00,8.29,1.08,15.29,3/23/2020,35.82,17.76,3.59,55.72
BF.B,53.47,-7.94,1.38,1.79,31.64,48.26%,11.13%,Consumer Staples,26541496000.00,26.54,0.7,44.68,3/23/2020,72.85,56.63,16.44,26.60
BIIB,293.27,-15.12,8.29,33.64,9.4,-19.31%,48.18%,Medical,55070368000.00,55.07,0,215.77,9/4/2019,374.99,316.13,26.43,21.79
BK,32.7,-7.2,1.06,4.03,8.44,-17.57%,29.76%,Finance,29808518000.00,29.81,1.24,26.4,3/18/2020,53.6,34,19.27,38.99
BKNG,1271.63,-424.03,-94.22,103.42,12.65,13.10%,78.47%,Retail-Wholesale,55241528000.00,55.24,0,1107.29,3/23/2020,2094,1308.23,12.92,39.27
BKR,9.8,-6.29,-1.82,0.83,13.2,-77.32%,-2.90%,Oils-Energy,10824828000.00,10.82,0.72,9.12,3/23/2020,27.93,10.96,6.94,64.91
BLK,409.54,-53.47,8.16,28.51,15.97,19.09%,31.21%,Finance,68119232000.00,68.12,14.52,323.98,3/18/2020,576.81,455.35,20.89,29.00
BLL,64.17,-6.29,8.15,2.54,25.98,78.57%,33.89%,Industrial Products,21065260000.00,21.07,0.6,51.26,3/23/2020,82.82,65.99,20.12,22.52
BMY,54.82,-4.24,5.47,4.67,11.65,-13.77%,64.65%,Medical,125833608000.00,125.83,1.8,42.48,7/23/2019,68.34,54.39,22.51,19.78
BR,91.32,-13.04,-2.62,4.52,21.45,75.12%,70.53%,Business Services,10886769000.00,10.89,2.16,81.9,3/23/2020,136.99,96.94,10.32,33.34
BRK.B,175.95,-30.39,-4.52,9.78,18.73,27.41%,30.79%,Finance,445372768000.00,445.37,0,159.5,3/23/2020,231.61,183.18,9.35,24.03
BSX,30.19,-7.2,0.27,1.59,19.9,80.28%,45.46%,Medical,45557844000.00,45.56,0,24.1,3/23/2020,46.62,31.64,20.17,35.24
BWA,22.66,-8.94,-1.06,4.13,5.95,-60.25%,22.43%,Auto-Tires-Trucks,5037377000.00,5.04,0.68,17,3/18/2020,46.6,24.58,24.98,51.37
BXP,85.25,-43.69,-5.61,3.3,13.26,-32.96%,23.51%,Finance,14306902000.00,14.31,3.92,77.21,3/23/2020,147.83,92.96,9.43,42.33
C,38.51,-24.95,-3.35,7.58,5.82,-19.66%,14.22%,Finance,88376520000.00,88.38,2.04,32,3/18/2020,83.11,44.08,16.90,53.66
CAG,29.76,3.07,3.68,1.93,14.63,-0.39%,-46.12%,Consumer Staples,14278428000.00,14.28,0.85,22.83,3/13/2020,35.59,28.23,23.29,16.38
CAH,47.71,-4.41,5.46,5.49,8.82,-47.04%,59.78%,Medical,13988124000.00,13.99,1.92,39.05,3/23/2020,60.69,48.44,18.15,21.39
T,28.05,-7.17,-0.35,3.58,8.44,-11.05%,36.80%,Utilities,209387504000.00,209.39,2.08,26.08,3/23/2020,39.7,30.23,7.02,29.35
CB,104.17,-40.86,2.37,10.12,11.27,-0.19%,78.32%,Finance,50618132000.00,50.62,3,87.35,3/18/2020,167.74,114.04,16.15,37.90
CBOE,88.18,-25.82,8.18,4.74,19.63,55.95%,304.40%,Finance,9856323000.00,9.86,1.44,72.01,3/19/2020,127.93,93.03,18.34,31.07
CBRE,35.74,-20.4,-0.06,3.71,11.06,-2.08%,164.03%,Finance,12624968000.00,12.62,0,29.17,3/23/2020,64.75,41.03,18.38,44.80
CCI,137.59,-5.7,9.63,1.97,25.25,70.50%,56.18%,Finance,60178120000.00,60.18,4.8,114.18,3/24/2020,168.75,148.06,17.01,18.47
CCL,8.8,-24.43,-6.52,4.4,2.91,-72.75%,31.11%,Consumer Discretionary,6949269000.00,6.95,2,7.9,3/18/2020,56.04,12.8,10.23,84.30
CDNS,65.24,-0.9,3.89,3.53,18.95,246.48%,47.78%,Computers and Technology,18502294000.00,18.50,0,51.39,3/18/2020,80.4,66.91,21.23,18.86
CDW,88.83,-25.39,-3.08,6.02,16.1,142.76%,49.34%,Computers and Technology,13316344000.00,13.32,1.52,73.39,3/23/2020,146.09,96.91,17.38,39.20
CE,68.05,-25.69,-4.82,9.52,7.78,24.56%,-7.42%,Basic Materials,8774141000.00,8.77,2.48,52.7,3/18/2020,128.88,74.1,22.56,47.20
CERN,60.71,-8.56,2.67,2.41,26.66,-16.01%,67.30%,Medical,19164456000.00,19.16,0.72,53.08,3/23/2020,80.9,64.24,12.57,24.96
CF,25.85,-11.01,-1.17,2.09,12.74,-52.20%,-3.23%,Basic Materials,5879852000.00,5.88,1.2,19.73,3/18/2020,55.15,26.62,23.68,53.13
CFG,17.3,-14.39,-0.41,3.86,5.09,-25.09%,50.99%,Finance,8040033000.00,8.04,1.56,14.12,3/18/2020,41.29,19.65,18.38,58.10
CHD,63.8,-5.72,3.5,2.48,26.13,49.43%,32.15%,Consumer Staples,15773904000.00,15.77,0.96,47.98,3/16/2020,80.99,64.81,24.80,21.22
CHRW,66.57,-2.33,4.28,4.18,15.6,-8.13%,13.66%,Transportation,8694707000.00,8.69,2.04,56.94,3/16/2020,91.96,65.19,14.47,27.61
CHTR,424.03,-69.14,3.26,7.61,59.24,127.47%,402.46%,Consumer Discretionary,91614192000.00,91.61,0,343.15,4/3/2019,546.54,450.78,19.07,22.42
CI,173.07,-9.87,16.25,17.05,10.46,32.91%,339.84%,Finance,65896608000.00,65.90,0.04,118.5,3/18/2020,224.64,178.26,31.53,22.96
CINF,73.57,-19.67,-0.66,4.21,18.94,40.98%,60.24%,Finance,12241460000.00,12.24,2.4,65.69,3/23/2020,118.19,79.74,10.71,37.75
CL,65.55,-2.02,5.66,2.83,23.53,-4.67%,-9.17%,Consumer Staples,56739792000.00,56.74,1.72,58.49,3/23/2020,77.41,66.58,10.77,15.32
CLX,174.66,15.24,9,6.37,27.39,56.55%,11.14%,Consumer Staples,21673574000.00,21.67,4.24,144.12,10/2/2019,214.26,174.48,17.49,18.48
CMA,27.17,-25.47,-5.9,7.8,3.98,-35.66%,45.80%,Finance,4117693000.00,4.12,2.72,24.28,3/19/2020,80.62,31.03,10.64,66.30
CMCSA,32.42,-8.01,-1.15,3.12,11.38,14.96%,58.40%,Consumer Discretionary,156533312000.00,156.53,0.84,31.7,3/23/2020,47.74,35.49,2.22,32.09
CME,166.2,-32.62,9.87,6.8,25.59,87.40%,56.40%,Finance,61971808000.00,61.97,3.4,131.8,3/19/2020,225.36,173.99,20.70,26.25
CMG,619.36,-154.22,-30.12,14.07,45.48,-4.19%,35.98%,Retail-Wholesale,18171374000.00,18.17,0,415,3/18/2020,940.28,639.97,33.00,34.13
STZ,136.88,-35.5,10.27,8.91,16.44,17.80%,66.73%,Consumer Staples,27474370000.00,27.47,3,104.28,3/23/2020,214.48,146.44,23.82,36.18
CMS,55.71,-4.71,2.39,2.49,24.88,68.63%,-4.65%,Utilities,16697220000.00,16.70,1.63,46.03,3/23/2020,69.17,61.94,17.38,19.46
CNC,56.12,3.1,3.83,4.42,13.06,69.33%,350.72%,Medical,34862440000.00,34.86,0,41.62,10/1/2019,68.64,57.71,25.84,18.24
CNP,14.12,-8.9,-1.01,1.79,9.07,-25.58%,33.33%,Utilities,7765402000.00,7.77,1.16,11.58,3/19/2020,31.17,16.23,17.99,54.70
COF,44.68,-43.58,-7.66,12.08,4.46,-37.45%,41.46%,Finance,23063166000.00,23.06,1.6,38,3/18/2020,107.59,53.87,14.95,58.47
COG,16.64,2.71,0.18,1.62,10.81,-44.55%,-4.91%,Oils-Energy,6851522000.00,6.85,0.4,13.06,2/28/2020,27.65,17.51,21.51,39.82
COO,273.05,-51.52,16.16,12.16,23.04,47.22%,54.47%,Medical,14701482000.00,14.70,0.06,236.68,3/18/2020,365.68,280.15,13.32,25.33
COP,29.62,-18.8,-1.32,3.59,8.16,-53.71%,-33.95%,Oils-Energy,33298864000.00,33.30,1.68,20.84,3/18/2020,68.22,29.29,29.64,56.58
COST,286.78,5.64,5.92,8.41,34.62,90.56%,35.57%,Retail-Wholesale,125907704000.00,125.91,2.6,233.05,5/31/2019,325.26,291.12,18.74,11.83
COTY,4.46,-4.77,-0.92,0.63,8.59,-77.88%,90.01%,Consumer Staples,3924438000.00,3.92,0.5,3.02,3/18/2020,14.14,5.41,32.29,68.46
